default,default response
"""Oh, Merlin, it's amortentia,"" I said, eyes widening. I shot a glance over the table at Hermione, who had clearly reached the same conclusion I had. ","Ron looked confused. ""What do you smell, Lucy?"""
"""Now then, now then, now then! Scales out, everyone, and potion kits, and don't forget your copies of Advanced Potion-Making.""","Harry raised his hand. ""Sir?"""
"Harry raised his hand. ""Sir?""","""Yes, Harry, m'boy?"""
"""Yes, Harry, m'boy?""","""I haven't got a book or scales or anything — nor's Ron — we didn't realize we'd be able to do the N.E.W.T., you see — """
"""It's polyjuice potion, sir,"" Hermione answered.","He nodded and approached our table. ""Excellent, excellent! Now, this one here — yes, my dear?"""
"He nodded and approached our table. ""Excellent, excellent! Now, this one here — yes, my dear?""","""It's amortentia!"""
"""It's amortentia!""","""It is indeed. It seems almost foolish to ask, but I assume you know what it does?"""
"""It is indeed. It seems almost foolish to ask, but I assume you know what it does?""","""It's the most powerful love potion in the world!"""
"""It's the most powerful love potion in the world!""","""Quite right! You recognized it, I suppose, by its distinctive mother-of-pearl sheen?"""
"""Quite right! You recognized it, I suppose, by its distinctive mother-of-pearl sheen?""","""And the steam rising in characteristic spirals, and it's supposed to smell differently to each of according to what attracts us, and I can smell freshly mown grass and new parchment and — "" She fell silent then, cheeks reddening. "
"""And the steam rising in characteristic spirals, and it's supposed to smell differently to each of according to what attracts us, and I can smell freshly mown grass and new parchment and — "" She fell silent then, cheeks reddening. ","""May I ask your name, my dear?"" Slughorn asked, not noticing."
"""May I ask your name, my dear?"" Slughorn asked, not noticing.","""Hermione Granger, sir."""
"""Hermione Granger, sir.""","""Granger? Granger? Can you possibly be related to Hector Dagworth-Granger, who founded the Most Extraordinary Society of Potioneers?"""
"""Granger? Granger? Can you possibly be related to Hector Dagworth-Granger, who founded the Most Extraordinary Society of Potioneers?""","""No, I don't think so, sir. I'm Muggle-born, you see."""
"""No, I don't think so, sir. I'm Muggle-born, you see.""","""Oho! 'One of my best friends is Muggle-born, and she's the best in our year!' I'm assuming this is the very friend of whom you spoke, Harry?"""
"""Oho! 'One of my best friends is Muggle-born, and she's the best in our year!' I'm assuming this is the very friend of whom you spoke, Harry?""","Harry nodded. ""Yes, sir."""
"Harry nodded. ""Yes, sir.""","""Well, well, take twenty well-earned points for Gryffindor, Miss Granger!"" Slughorn announced."
"""Well, well, take twenty well-earned points for Gryffindor, Miss Granger!"" Slughorn announced.","As Slughorn turned away, Hermione beamed at Harry, whispering, ""Did you really tell him I'm the best in the year?"""
"As Slughorn turned away, Hermione beamed at Harry, whispering, ""Did you really tell him I'm the best in the year?""","""Well, what's so impressive about that? You are the best in the year — I'd've told him so if he'd asked me!"" Ron whispered back, looking distinctly put out."
"""Ah, yes, that. Well, that one, ladies and gentlemen, is a most curious little potion called Felix Felicis. I take it that you know what Felix Felicis does, Miss Granger?""","Hermione nodded. ""It's liquid luck! It makes you lucky!"""
"Hermione nodded. ""It's liquid luck! It makes you lucky!""","""Quite right, take another ten points for Gryffindor. Yes, it's a funny little potion, Felix Felicis. Desperately tricky to make, and disastrous to get wrong. However, if brewed correctly, as this has been, you will find that all your endeavors tend to succeed... at least until the effects wear off."""
"""Quite right, take another ten points for Gryffindor. Yes, it's a funny little potion, Felix Felicis. Desperately tricky to make, and disastrous to get wrong. However, if brewed correctly, as this has been, you will find that all your endeavors tend to succeed... at least until the effects wear off.""","""Why don't people drink it all the time, sir?"" Terry Boot asked."
"""Why don't people drink it all the time, sir?"" Terry Boot asked.","""Because if taken in excess, it causes giddiness, recklessness, and dangerous overconfidence. Too much of a good thing, you know. Highly toxic in large quantities. But taken sparingly, and very occasionally..."""
"""Because if taken in excess, it causes giddiness, recklessness, and dangerous overconfidence. Too much of a good thing, you know. Highly toxic in large quantities. But taken sparingly, and very occasionally...""","""Have you ever taken it, sir?"" Michael Corner asked."
"""We can share my book, if you want,"" I offered.","Harry shook his head. ""It's okay, but thanks. I can make the directions out."""
"Harry shook his head. ""It's okay, but thanks. I can make the directions out.""","I shrugged. ""Alright."" Just the same, though, I shifted my book so it lay open in between us. "
"""The clear winner! Excellent, excellent, Harry! It's clear you've inherited your mother's talent. She was a dab hand at Potions, Lily was! Here you are, then, here you are — one bottle of Felix Felicis, as promised, and use it well!""","""How did you do that?"" Ron asked immediately."
"""How did you do that?"" Ron asked immediately.","""Got lucky, I suppose,"" Harry said, making a point of looking at Draco Malfoy, who was glaring at Harry. "
"Harry glanced at Hermione, who was looking livid. ""I suppose you think I cheated?""","""Well, it wasn't exactly your own work,"" she snapped."
"Harry's eyes widened for a moment. ""It's nothing. It's not like, you know, Riddle's diary. It's just an old textbook someone's scribbled on.""","""But you're doing what it says?"" she pressed. I could feel her trembling beside me, so I rested a hand on her thigh under the table to calm her. She jolted at first, then relaxed when she realized it was just me."
"Hermione's eyes lit up. ""Yes, do tell us, Lucy! You would have the best sense of what — who — yours smelled like.""","""Ooh, what's going on?"" Ginny asked."
"Ginny turned to me expectantly. ""Well? Go on, then.""","I glanced at Harry, pretending to be nervous. They don't know that we're together, I need to keep acting the same way I always did, I need to be properly skittish. ""But what if he comes out of it while I'm — """
"I glanced at Harry, pretending to be nervous. They don't know that we're together, I need to keep acting the same way I always did, I need to be properly skittish. ""But what if he comes out of it while I'm — ""","As if on cue, Harry blinked hard, laughing. ""That was a great D.A. meeting. Whose should I do next?"""
"As if on cue, Harry blinked hard, laughing. ""That was a great D.A. meeting. Whose should I do next?""","""Mine!"" Ginny said, pointing to the rubber snake."
"The blush that crawled into my cheeks wasn't at all forced or fake. ""I, er... yes, it was Harry I smelled.""","""And? What did you smell?"""
"""And? What did you smell?""","""Harry,"" I replied."
"""Harry,"" I replied.","""Don't make me hex you."""
"""Don't make me hex you.""","""Go ahead, I'll just nonverbally block it. Oh, by the way, did you hear about what happened with Snape?"""
"""Go ahead, I'll just nonverbally block it. Oh, by the way, did you hear about what happened with Snape?""","""Yes, of course I did, that's all anyone's talking about. Nice try. Explain."""
"""How in Merlin's name did you do that?"" Ron asked.","I shrugged. ""The Room of Requirement and I are friends, I believe. Anyway, I smelled Harry. Chocolate Frogs and broomsticks and grass from all of our trips to and from the Quidditch Pitch together and healing potions from all of our time in the Hospital Wing together and smoke from the fire that burns through all of our late night talks in the common room."""
"I shrugged. ""The Room of Requirement and I are friends, I believe. Anyway, I smelled Harry. Chocolate Frogs and broomsticks and grass from all of our trips to and from the Quidditch Pitch together and healing potions from all of our time in the Hospital Wing together and smoke from the fire that burns through all of our late night talks in the common room.""","Ginny sighed dramatically. ""Oh to be loved by Lucy Diggory."""
